Airport	City	State	longitude	latitude	x	y
SEA	Seattle	WA	122.3331	47.6097	1652.969	3289.715
SFO	San Francisco	CA	122.4167	37.7833	1933.199	2610.735
DIA	Denver	CO	104.9903	39.7392	2806.848	2745.883
OAK	Oakland	CA	122.2708	37.8044	1940.612	2612.193
JFK	New York	NY	73.7789	40.6397	4406.324	2808.105
MIA	Miami	FL	80.2089	25.7753	4828.976	1781.011
DFW	Dallas	TX	96.7970	32.7767	3545.021	2264.791
LGA	New York	NY	73.8726	40.7772	4392.332	2817.606
SLC	Salt Lake City	UT	111.8833	40.7500	2404.426	2815.727
ORD	Chicago	IL	87.9047	41.9786	3591.154	2900.620
